"","Date","AppleClose","AppleDailyReturnsPS","AppleDailyTotalReturns","BMRCClose","BMRCDailyReturnsPS","BMRCDailyTotalReturns","MicrosoftClose","MicrosoftDailyReturnsPS","MicrosoftDailyTotalReturns","OracleClose","OracleDailyReturnsPS","OracleDailyTotalReturns","IBMClose","IBMDailyReturnsPS","IBMDailyTotalReturns","TotalDailyReturns","TotalReturns"
"46","2018-12-04",44.172501,-2.032501,-65.0400320000001,39.75,-2.950001,-295.0001,108.519997,-3.569999,-1249.49965,48.75,1.08,226.8,116.252388,3.54684400000001,532.026600000001,-850.713181999997,2094.307614
"47","2018-12-06",43.68,-0.492500999999997,-15.7600319999999,38.990002,-0.759998000000003,-75.9998000000003,109.190002,0.670005000000003,234.501750000001,46.68,2.07,434.7,118.4608,-2.20841200000001,-331.261800000001,246.180117999999,2340.487732
"48","2018-12-07",42.122501,-1.557499,-49.839968,39.25,0.259998000000003,25.9998000000003,104.82,-4.37000200000001,-1529.5007,46,0.68,142.8,114.091782,4.36901800000001,655.352700000002,-755.188168000003,1585.299564
"49","2018-12-10",42.400002,0.277501000000001,8.88003200000003,39.450001,0.200001,20.0001,107.589996,2.76999600000001,969.498600000002,46.669998,-0.67,-140.7,115.803062,-1.71128,-256.692,600.986732000002,2186.286296
"50","2018-12-11",42.157501,-0.242500999999997,-7.76003199999991,39.43,-0.0200010000000006,-2.00010000000006,108.589996,1,350,46.459999,0.21,44.1,115.573616,0.229445999999996,34.4168999999994,418.756767999999,2605.043064
"51","2018-12-12",42.275002,0.117500999999997,3.76003199999991,40.580002,1.150002,115.0002,109.080002,0.490005999999994,171.502099999998,47.32,-0.86,-180.6,115.831741,-0.258124999999993,-38.7187499999989,70.943581999999,2675.986646
"52","2018-12-13",42.737499,0.462496999999999,14.799904,39.310001,-1.270001,-127.0001,109.449997,0.369995000000003,129.498250000001,47.23,0.09,18.9,115.420647,0.411093999999991,61.6640999999987,97.8621539999997,2773.8488
"53","2018-12-14",41.369999,-1.3675,-43.76,39.689999,0.379998000000001,37.9998000000001,106.029999,-3.41999799999999,-1196.9993,46.599998,0.63,132.3,114.627151,0.793496000000005,119.024400000001,-951.435099999997,1822.4137
"54","2018-12-17",40.985001,-0.384998000000003,-12.3199360000001,39.799999,0.109999999999999,10.9999999999999,102.889999,-3.14,-1099,45.73,0.87,182.7,110.994263,3.63288799999999,544.933199999999,-372.686736000001,1449.726964
"55","2018-12-18",41.517502,0.532501000000003,17.0400320000001,39.59,-0.209998999999996,-20.9998999999996,103.970001,1.08000199999999,378.000699999998,45.849998,-0.12,-25.2,111.520073,-0.525809999999993,-78.8714999999989,269.969331999999,1719.696296
"56","2018-12-19",40.2225,-1.295002,-41.4400640000001,38.639999,-0.950001,-95.0001,103.690002,-0.279998999999989,-97.9996499999963,46.450001,-0.6,-126,111.309753,0.210319999999996,31.5479999999994,-328.891813999997,1390.804482
"57","2018-12-20",39.2075,-1.01499999999999,-32.4799999999998,38.84,0.200001,20.0001,101.510002,-2.18000000000001,-763.000000000002,46.240002,0.21,44.1,108.049713,3.26004,489.006000000001,-242.373900000002,1148.430582
"58","2018-12-21",37.682499,-1.525001,-48.8000320000001,38.509998,-0.330002,-33.0002,98.230003,-3.279999,-1147.99965,44,2.24,470.4,106.061188,1.988525,298.278749999999,-461.121132000002,687.309449999997
"59","2018-12-24",36.7075,-0.974998999999997,-31.1999679999999,38.009998,-0.5,-50,94.129997,-4.10000599999999,-1435.0021,42.689999,1.31,275.1,102.839386,3.221802,483.2703,-757.831767999998,-70.5223180000006
"60","2018-12-26",39.2925,2.58499999999999,82.7199999999998,39.150002,1.140004,114.0004,100.559998,6.43000099999999,2250.50035,44.59,-1.9,-399,106.491394,-3.652008,-547.801199999999,1500.41955,1429.897232
"61","2018-12-27",39.037498,-0.255001999999998,-8.16006399999992,38.830002,-0.32,-32,101.18,0.620002000000014,217.000700000005,44.970001,-0.38,-79.8,108.776291,-2.284897,-342.73455,-245.693913999995,1184.203318
"62","2018-12-28",39.057499,0.0200010000000006,0.640032000000019,40.73,1.899998,189.9998,100.389999,-0.790001000000004,-276.500350000001,44.82,0.15,31.5,108.059273,0.717017999999996,107.552699999999,53.1921819999978,1237.3955
